time,lineRef,directionRef,dateFrameRef,longitude,latitude,operatorRef,bearing,delay,vehicleRef,journeyPatternRef,originShortName,destinationShortName,originAimedDepartureTime,speed,timeAPI,timeStorage
2015-03-25T01:00:49.011+02:00,17,1,2015-03-24,23.5855297,61.4963453,LL,238.0,229,LL_106,17,4065,1592,0015,25.2,1427238049,1427238049
2015-03-25T01:00:49.011+02:00,3,1,2015-03-24,23.7741865,61.4988548,TKL,256.0,297,TKL_282,3,3615,0015,0040,36.0,1427238049,1427238049
2015-03-25T01:00:49.011+02:00,28Y,2,2015-03-24,23.9524480,61.5317973,TKL,340.0,318,TKL_275,28Y,0011,5211,0040,57.6,1427238049,1427238049
2015-03-25T01:00:42.010+02:00,9,1,2015-03-24,23.7948000,61.4796358,Paunu,0.0,638,,9,4045,0007,0035,0.0,1427238042,1427238049
2015-03-25T01:00:49.011+02:00,1,2,2015-03-24,23.6127015,61.4241628,Paunu,343.0,12,Paunu_143,1L,7035,4600,0100,54.0,1427238049,1427238049
2015-03-25T01:00:50.066+02:00,17,1,2015-03-24,23.5854283,61.4963160,LL,239.0,230,LL_106,17,4065,1592,0015,21.6,1427238050,1427238050
2015-03-25T01:00:50.066+02:00,3,1,2015-03-24,23.7741865,61.4988548,TKL,256.0,297,TKL_282,3,3615,0015,0040,36.0,1427238050,1427238050
2015-03-25T01:00:50.066+02:00,28Y,2,2015-03-24,23.9523387,61.5319290,TKL,338.0,318,TKL_275,28Y,0011,5211,0040,57.6,1427238050,1427238050
2015-03-25T01:00:42.010+02:00,9,1,2015-03-24,23.7948000,61.4796358,Paunu,0.0,638,,9,4045,0007,0035,0.0,1427238042,1427238050
2015-03-25T01:00:50.066+02:00,1,2,2015-03-24,23.6126323,61.4242915,Paunu,346.0,11,Paunu_143,1L,7035,4600,0100,54.0,1427238050,1427238050
2015-03-25T01:00:51.012+02:00,17,1,2015-03-24,23.5853383,61.4962903,LL,239.0,231,LL_106,17,4065,1592,0015,18.0,1427238051,1427238051
2015-03-25T01:00:51.012+02:00,3,1,2015-03-24,23.7741865,61.4988548,TKL,256.0,297,TKL_282,3,3615,0015,0040,36.0,1427238051,1427238051
2015-03-25T01:00:51.012+02:00,28Y,2,2015-03-24,23.9522173,61.5320610,TKL,335.0,318,TKL_275,28Y,0011,5211,0040,57.6,1427238051,1427238051
2015-03-25T01:00:42.010+02:00,9,1,2015-03-24,23.7948000,61.4796358,Paunu,0.0,638,,9,4045,0007,0035,0.0,1427238042,1427238051
2015-03-25T01:00:51.012+02:00,1,2,2015-03-24,23.6125788,61.4244210,Paunu,350.0,11,Paunu_143,1L,7035,4600,0100,54.0,1427238051,1427238051
2015-03-25T01:00:52.012+02:00,17,1,2015-03-24,23.5852663,61.4962613,LL,226.0,231,LL_106,17,4065,1592,0015,18.0,1427238052,1427238052
2015-03-25T01:00:52.012+02:00,3,1,2015-03-24,23.7726977,61.4988610,TKL,262.0,298,TKL_282,3,3615,0015,0040,25.2,1427238052,1427238052
2015-03-25T01:00:52.012+02:00,28Y,2,2015-03-24,23.9520805,61.5321923,TKL,333.0,318,TKL_275,28Y,0011,5211,0040,57.6,1427238052,1427238052
2015-03-25T01:00:42.010+02:00,9,1,2015-03-24,23.7948000,61.4796358,Paunu,0.0,638,,9,4045,0007,0035,0.0,1427238042,1427238052
