,GDP (PPP) per capita,Happiness score,Life expectancy,Birth rate
Afghanistan,2017.0,3.2030000000000003,60.5,38.3
Albania,13345.0,4.718999999999999,77.8,13.1
Algeria,15440.0,5.211,75.6,23.0
American Samoa,,,,
Andorra,,,,7.8
Angola,6814.0,,52.4,38.6
Anguilla (UK),,,,
Antigua and Barbuda,27981.0,,76.4,15.8
Argentina,20537.0,6.086,76.3,17.0
Armenia,10176.0,4.559,74.8,13.3
Aruba (Netherlands),,,,
Australia,52373.0,7.228,82.8,12.1
Austria,52137.0,7.246,81.5,9.5
Azerbaijan,18076.0,5.207999999999999,72.7,16.2
Bahamas,,,76.1,15.4
"Bahamas, The",33494.0,,,
Bahrain,50057.0,6.199,76.9,13.5
Bangladesh,4620.0,4.456,71.8,19.0
Barbados,18534.0,,75.5,11.8
Belarus,20003.0,5.3229999999999995,72.3,10.5
Belgium,48245.0,6.922999999999999,81.1,11.4
Belize,8501.0,,70.1,24.3
Benin,2426.0,4.883,60.0,35.5
Bermuda (UK),,,,
Bhutan,9540.0,5.082,69.8,17.5
Bolivia,7477.0,5.779,70.7,22.4
Bosnia and Herzegovina,13491.0,5.386,77.4,8.8
Botswana,17965.0,3.488,65.7,20.7
Brazil,16154.0,6.3,75.0,12.32
British Virgin Islands,,,,
Brunei,79530.0,,77.7,17.2
Bulgaria,23156.0,5.011,74.5,8.8
Burkina Faso,1996.0,4.587,59.9,41.6
Burundi,732.0,3.775,59.6,41.7
Cambodia,4335.0,4.7,68.7,23.4
Cameroon,3828.0,5.044,57.3,35.8
Canada,49651.0,7.278,82.2,10.3
Cape Verde,7316.0,,73.3,20.2
Cayman Islands (UK),,,,
Central African Republic,712.0,3.083,52.5,34.7
Chad,2415.0,4.35,53.1,36.1
Chile,25978.0,6.444,80.5,13.7
China,18110.0,5.191,76.1,12.4
Colombia,14943.0,6.125,74.8,16.3
Comoros,1632.0,3.9730000000000003,63.5,26.9
Congo,,,64.7,35.1
Congo (Brazzaville),,4.812,,
Congo (Kinshasa),,4.418,,
"Congo, Democratic Republic of the",767.0,,,
"Congo, Republic of the",6799.0,,,
Cook Islands (New Zealand),,,,
Costa Rica,17559.0,7.167000000000001,79.6,15.7
Cote d'Ivoire,,,53.3,
Croatia,26221.0,5.432,78.0,9.0
Cuba,,,79.1,10.8
Curaçao (Netherlands),,,,
Cyprus,39973.0,6.046,80.5,11.4
Czech Republic,37371.0,6.852,78.8,9.5
Côte d'Ivoire,4178.0,,,
DR Congo,,,59.8,
Democratic Republic of the Congo,,,,34.2
Denmark,52121.0,7.6,80.6,10.4
Djibouti,3786.0,,63.5,23.6
Dominica,9886.0,,,15.2
Dominican Republic,18424.0,5.425,73.9,18.6
East Timor,,,,33.8
Ecuador,11718.0,6.028,76.2,18.2
Egypt,13366.0,4.166,70.9,30.3
El Salvador,8041.0,6.252999999999999,73.5,16.3
Equatorial Guinea,22710.0,,58.2,32.8
Eritrea,1657.0,,64.7,30.1
Estonia,34096.0,5.893,77.6,10.3
Eswatini,11020.0,,58.9,
Eswatini (Swaziland),,,,24.3
Ethiopia,2332.0,4.2860000000000005,64.8,36.9
Falkland Islands (UK),,,,
Faroe Islands (Denmark),,,,
Federated States of Micronesia,,,,20.3
Fiji,10234.0,,69.9,19.0
Finland,46430.0,7.769,81.1,10.7
France,45775.0,6.5920000000000005,82.4,12.3
French Guiana,,,,
French Polynesia,,,,
Gabon,18496.0,4.7989999999999995,66.0,34.3
Gambia,,4.516,61.1,30.1
"Gambia, The",2792.0,,,
Georgia,11485.0,4.519,74.4,12.5
Germany,52559.0,6.985,81.0,8.5
Ghana,6452.0,4.996,62.4,30.8
Gibraltar (UK),,,,
Greece,29123.0,5.287000000000001,81.0,8.5
Greenland (Denmark),,,,
Grenada,16167.0,,73.6,15.8
Guadeloupe (France),,,,
Guam (USA),,,,
Guatemala,8436.0,6.436,71.9,24.5
"Guernsey (Channel Islands, UK)",,,,
Guinea,2310.0,4.534,59.0,35.4
Guinea-Bissau,1937.0,,58.9,32.9
Guyana,8519.0,,66.2,15.5
Haiti,1864.0,3.597,63.5,23.3
Honduras,5212.0,5.86,74.6,22.8
Hong Kong,64216.0,5.43,,
Hong Kong (China),,,,
Hungary,31903.0,5.757999999999999,75.9,9.1
Iceland,55917.0,7.494,82.7,13.8
India,7874.0,4.015,68.3,19.3
Indonesia,13230.0,5.192,69.1,16.4
Iran,19557.0,4.548,75.5,17.8
Iraq,17659.0,4.437,68.9,30.9
Ireland,78785.0,7.021,81.4,14.5
Isle of Man (UK),,,,
Israel,37972.0,7.138999999999999,82.5,18.3
Italy,39637.0,6.223,82.7,8.7
Ivory Coast,,4.944,,28.2
Jamaica,9447.0,5.89,76.2,18.0
Japan,44227.0,5.886,83.7,7.8
"Jersey (Channel Islands, UK)",,,,
Jordan,9433.0,4.906000000000001,74.1,25.5
Kazakhstan,27550.0,5.809,70.2,18.7
Kenya,3691.0,4.5089999999999995,63.4,25.1
Kiribati,2086.0,,66.3,21.3
"Korea, South",41351.0,,,
Kosovo,11552.0,6.1,,
Kuwait,67000.0,6.021,74.7,19.6
Kyrgyzstan,3844.0,5.261,71.1,22.6
Laos,7925.0,4.796,65.7,23.9
Latvia,29901.0,5.94,74.6,9.9
Lebanon,14684.0,5.197,74.9,14.4
Lesotho,3494.0,3.802,53.7,25.1
Liberia,1418.0,3.975,61.4,33.9
Libya,11469.0,5.525,72.7,17.8
Liechtenstein,,,,10.4
Lithuania,34826.0,6.149,73.6,10.0
Luxembourg,106705.0,7.09,82.0,11.4
Macau,116808.0,,,
Macau (China),,,,
Macedonia,,,,11.5
Madagascar,1630.0,3.9330000000000003,65.5,32.1
Malawi,1199.0,3.41,58.3,41.3
Malaysia,30860.0,5.3389999999999995,75.0,19.4
Maldives,21760.0,,78.5,16.0
Mali,2384.0,4.39,58.2,44.4
Malta,45606.0,6.726,81.7,10.1
Marshall Islands,3697.0,,,25.0
Martinique (France),,,,
Mauritania,3990.0,4.49,63.1,30.9
Mauritius,23699.0,5.888,74.6,13.1
Mayotte (France),,,,
Mexico,20602.0,6.595,76.7,18.5
Micronesia,,,69.4,
"Micronesia, Federated States of",3482.0,,,
Moldova,7305.0,5.529,72.1,11.8
Monaco,,,,6.6
Mongolia,13447.0,5.285,68.8,19.6
Montenegro,19043.0,5.523,76.1,10.2
Montserrat (UK),,,,
Morocco,8933.0,5.207999999999999,74.3,18.0
Mozambique,1291.0,4.466,57.6,38.3
Myanmar,6511.0,4.36,66.6,18.2
Namibia,11229.0,4.638999999999999,65.8,27.9
Nauru,12326.0,,,24.4
Nepal,2905.0,4.913,69.2,19.9
Netherlands,56383.0,7.4879999999999995,81.9,10.9
New Caledonia (France),,,,
New Zealand,40135.0,7.307,81.6,13.3
Nicaragua,5683.0,6.105,74.8,17.9
Niger,1217.0,4.628,61.8,44.8
Nigeria,6027.0,5.265,54.5,37.3
Niue (New Zealand),,,,
North Korea,,,70.6,14.6
North Macedonia,15709.0,5.274,75.7,
