"Akaa";"2014";17052;8477;8575
"Alahärmä";"2014";0;0;0
"Alajärvi";"2014";10171;5102;5069
"Alastaro";"2014";0;0;0
"Alavieska";"2014";2687;1400;1287
"Alavus";"2014";12103;6102;6001
"Anjalankoski";"2014";0;0;0
"Artjärvi;Artsjö";"2014";0;0;0
"Asikkala";"2014";8374;4155;4219
"Askainen;Villnäs";"2014";0;0;0
"Askola";"2014";5064;2549;2515
"Aura";"2014";3982;1957;2025
"Brändö";"2014";474;263;211
"Dragsfjärd";"2014";0;0;0
"Eckerö";"2014";932;497;435
"Elimäki";"2014";0;0;0
"Eno";"2014";0;0;0
"Enonkoski";"2014";1503;771;732
"Enontekiö;Enontekis";"2014";1890;1009;881
"Espoo;Esbo";"2014";265543;131429;134114
"Eura";"2014";12314;6128;6186
"Eurajoki;Euraåminne";"2014";5954;2998;2956
"Evijärvi";"2014";2651;1383;1268
"Finström";"2014";2535;1257;1278
"Forssa";"2014";17521;8465;9056
"Föglö";"2014";568;297;271
"Geta";"2014";494;254;240
"Haapajärvi";"2014";7479;3816;3663
"Haapavesi";"2014";7175;3670;3505
"Hailuoto;Karlö";"2014";997;518;479
"Halikko";"2014";0;0;0
"Halsua";"2014";1222;630;592
"Hamina;Fredrikshamn";"2014";21061;10420;10641
"Hammarland";"2014";1531;777;754
"Hankasalmi";"2014";5307;2640;2667
"Hanko;Hangö";"2014";9021;4546;4475
"Harjavalta";"2014";7366;3593;3773
"Hartola";"2014";3071;1521;1550
"Hattula";"2014";9738;4909;4829
"Hauho";"2014";0;0;0
"Haukipudas";"2014";0;0;0
"Haukivuori";"2014";0;0;0
"Hausjärvi";"2014";8815;4487;4328
"Heinola";"2014";19695;9589;10106
"Heinävesi";"2014";3638;1876;1762
"Helsinki;Helsingfors";"2014";620715;293113;327602
"Himanka";"2014";0;0;0
"Hirvensalmi";"2014";2326;1173;1153
"Hollola";"2014";21892;10771;11121
"Honkajoki";"2014";1788;940;848
"Houtskari;Houtskär";"2014";0;0;0
"Huittinen";"2014";10487;5203;5284
"Humppila";"2014";2440;1256;1184
"Hyrynsalmi";"2014";2490;1285;1205
"Hyvinkää;Hyvinge";"2014";46366;22643;23723
"Hämeenkoski";"2014";2104;1059;1045
"Hämeenkyrö;Tavastkyro";"2014";10610;5316;5294
"Hämeenlinna;Tavastehus";"2014";67976;32769;35207
"Ii";"2014";9666;4979;4687
"Iisalmi;Idensalmi";"2014";22115;10859;11256
"Iitti";"2014";6950;3455;3495
"Ikaalinen;Ikalis";"2014";7298;3624;3674
"Ilmajoki";"2014";12181;6170;6011
"Ilomantsi;Ilomants";"2014";5504;2785;2719
"Imatra";"2014";28037;13634;14403
"Inari;Enare";"2014";6814;3575;3239
"Iniö";"2014";0;0;0
"Inkoo;Ingå";"2014";5560;2746;2814
"Isojoki;Storå";"2014";2198;1147;1051
"Isokyrö;Storkyro";"2014";4842;2449;2393
"Jaala";"2014";0;0;0
"Jalasjärvi";"2014";7885;3953;3932
"Janakkala";"2014";16840;8445;8395
"Joensuu";"2014";75041;36508;38533
"Jokioinen;Jockis";"2014";5516;2725;2791
"Jomala";"2014";4560;2338;2222
"Joroinen;Jorois";"2014";5178;2613;2565
"Joutsa";"2014";4782;2440;2342
"Joutseno";"2014";0;0;0
"Juankoski";"2014";4882;2488;2394
"Jurva";"2014";0;0;0
"Juuka";"2014";5140;2626;2514
"Juupajoki";"2014";2033;1051;982
"Juva";"2014";6616;3309;3307
"Jyväskylä";"2014";135780;66345;69435
"Jyväskylän mlk;Jyväskylä lk";"2014";0;0;0
"Jämijärvi";"2014";1997;1000;997
"Jämsä";"2014";21808;10896;10912
"Jämsänkoski";"2014";0;0;0
"Jäppilä";"2014";0;0;0
"Järvenpää;Träskända";"2014";40390;19730;20660
"Kaarina;S:t Karins";"2014";32148;15751;16397
"Kaavi";"2014";3214;1611;1603
"Kajaani;Kajana";"2014";37791;18582;19209
"Kalajoki";"2014";12632;6381;6251
"Kalvola";"2014";0;0;0
"Kangasala";"2014";30471;15133;15338
"Kangaslampi";"2014";0;0;0
"Kangasniemi";"2014";5693;2866;2827
"Kankaanpää";"2014";11883;5846;6037
"Kannonkoski";"2014";1475;756;719
"Kannus";"2014";5643;2784;2859
"Karijoki;Bötom";"2014";1409;735;674
"Karinainen";"2014";0;0;0
"Karjaa;Karis";"2014";0;0;0
"Karjalohja;Karislojo";"2014";0;0;0
"Karkkila;Högfors";"2014";8977;4428;4549
"Karstula";"2014";4286;2127;2159
"Karttula";"2014";0;0;0
"Karvia";"2014";2491;1305;1186
"Kaskinen;Kaskö";"2014";1324;672;652
"Kauhajoki";"2014";14007;7007;7000
"Kauhava";"2014";16908;8501;8407
"Kauniainen;Grankulla";"2014";9357;4539;4818
"Kaustinen;Kaustby";"2014";4283;2171;2112
"Keitele";"2014";2398;1229;1169
"Kemi";"2014";21929;10807;11122
"Kemijärvi";"2014";7892;3957;3935
"Keminmaa";"2014";8469;4311;4158
"Kemiö;Kimito";"2014";0;0;0
"Kemiönsaari;Kimitoön";"2014";6943;3467;3476
"Kempele";"2014";16889;8403;8486
"Kerava;Kervo";"2014";35317;17260;18057
"Kerimäki";"2014";0;0;0
"Kestilä";"2014";0;0;0
"Kesälahti";"2014";0;0;0
"Keuruu";"2014";10177;4971;5206
"Kihniö";"2014";2080;1061;1019
"Kiihtelysvaara";"2014";0;0;0
"Kiikala";"2014";0;0;0
"Kiikoinen";"2014";0;0;0
"Kiiminki";"2014";0;0;0
"Kinnula";"2014";1766;956;810
"Kirkkonummi;Kyrkslätt";"2014";38220;19024;19196
"Kisko";"2014";0;0;0
"Kitee";"2014";10986;5462;5524
"Kittilä";"2014";6470;3265;3205
"Kiukainen";"2014";0;0;0
"Kiuruvesi";"2014";8752;4373;4379
"Kivijärvi";"2014";1244;657;587
"Kodisjoki";"2014";0;0;0
"Kokemäki;Kumo";"2014";7702;3808;3894
"Kokkola;Karleby";"2014";47278;23292;23986
"Kolari";"2014";3840;1966;1874
"Konnevesi";"2014";2831;1447;1384
"Kontiolahti";"2014";14681;7439;7242
"Korpilahti";"2014";0;0;0
"Korppoo;Korpo";"2014";0;0;0
"Korsnäs";"2014";2219;1143;1076
"Kortesjärvi";"2014";0;0;0
"Koski Tl";"2014";2438;1209;1229
"Kotka";"2014";54518;26858;27660
"Kouvola";"2014";86453;42384;44069
"Kristiinankaupunki;Kristinestad";"2014";6845;3418;3427
"Kruunupyy;Kronoby";"2014";6662;3349;3313
"Kuhmalahti";"2014";0;0;0
"Kuhmo";"2014";8950;4623;4327
"Kuhmoinen";"2014";2374;1162;1212
"Kuivaniemi";"2014";0;0;0
"Kullaa";"2014";0;0;0
"Kumlinge";"2014";328;175;153
"Kuopio";"2014";107543;52108;55435
"Kuortane";"2014";3727;1914;1813
"Kurikka";"2014";14188;7110;7078
"Kuru";"2014";0;0;0
"Kustavi;Gustavs";"2014";892;460;432
"Kuusamo";"2014";15823;8026;7797
"Kuusankoski";"2014";0;0;0
"Kuusjoki";"2014";0;0;0
"Kylmäkoski";"2014";0;0;0
"Kyyjärvi";"2014";1399;708;691
"Kälviä;Kelviå";"2014";0;0;0
"Kärkölä";"2014";4647;2347;2300
"Kärsämäki";"2014";2696;1397;1299
"Kökar";"2014";254;142;112
"Köyliö;Kjulo";"2014";2647;1360;1287
"Lahti;Lahtis";"2014";103754;49340;54414
"Laihia;Laihela";"2014";8068;4035;4033
"Laitila";"2014";8542;4219;4323
"Lammi";"2014";0;0;0
